流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点,运输车辆的最大装载量,车次,日运输量新,车辆折算系数
钢扎,公路,老炼钢,二棒,钢坯,粗钢,140.56,0.4016,43,40,40,43,47,49,81.9591836734694,4.062711864406779
铁前,公路,炼焦厂_1,炼铁1-4,焦炭,主产品,139.79,0.3994,31,9,9,31,47,97,41.17525773195876,4.062711864406779
铁前,公路,炼焦厂_1,炼铁5,焦炭,主产品,121.42,0.3469142857142857,31,48,48,31,22,12,289.0952380952381,1.9016949152542373
钢扎,公路,新炼钢,高线,钢坯,粗钢,119.54,0.34154285714285715,32,42,42,32,33,34,100.45378151260505,2.8525423728813557
铁前,公路,原料场,石灰厂,石灰石,熔剂,117.86,0.3367428571428571,3,15,15,3,12,95,35.44661654135338,1.0372881355932204
钢扎,公路,新炼钢,窄带,钢坯,粗钢,65.47,0.18705714285714287,32,58,58,32,27,5,374.11428571428576,2.3338983050847455
钢扎,公路,老炼钢,三棒,钢坯,粗钢,58.8,0.16799999999999998,43,45,45,43,13,71,23.661971830985912,1.123728813559322
回收,公路,废钢堆场,新炼钢,废钢,自产物质,43.2,0.12342857142857144,46,32,32,46,17,71,17.38430583501006,1.4694915254237289
铁前,公路,石灰厂,450烧结,生石灰,主产品,31.85,0.091,15,8,8,15,11,23,39.56521739130435,0.9508474576271186
回收,公路,废钢堆场,老炼钢,废钢,自产物质,29.44,0.08411428571428572,46,43,43,46,45,6,140.1904761904762,3.8898305084745757
铁前,公路,原料场,450烧结,白云石,熔剂,29.3,0.0837142857142857,3,8,8,3,28,3,279.04761904761904,2.4203389830508475
钢扎,公路,新炼钢,三棒,钢坯,粗钢,26.36,0.07531428571428571,32,45,45,32,28,96,7.845238095238095,2.4203389830508475
回收,公路,炼铁1-4,原料场,高炉除尘灰,其他副产品,22.48,0.06422857142857143,9,3,3,9,48,72,8.920634920634921,4.149152542372882
铁前,公路,原料场,石灰厂,白云石,熔剂,19.67,0.05620000000000001,3,15,15,3,22,69,8.144927536231885,1.9016949152542373
回收,公路,炼铁5,原料场,高炉除尘灰,其他副产品,19.52,0.05577142857142857,48,3,3,48,26,79,7.059674502712477,2.247457627118644
回收,公路,炼铁1-4,原料场,返焦,其他副产品,19.06,0.05445714285714286,9,3,3,9,16,36,15.126984126984127,1.383050847457627
回收,公路,炼铁1-4,原料场,块矿返矿,其他副产品,18.82,0.053771428571428574,9,3,3,9,37,93,5.781874039938556,3.1983050847457624
铁前,公路,原料场,炼铁1-4,萤石,熔剂,18.39,0.05254285714285714,3,9,9,3,10,92,5.711180124223603,0.8644067796610169
